일시,행정구역,한파특보(O/X)
20240224,경기남부,X
20240224,경기동부,X
20240224,경기북서부,X
20240224,경기중부,X
20240224,서울,X
20240224,인천,X
20240225,경기남부,X
20240225,경기동부,X
20240225,경기북서부,X
20240225,경기중부,X
20240225,서울,X
20240225,인천,X
20240226,경기남부,X
20240226,경기동부,X
20240226,경기북서부,X
20240226,경기중부,X
20240226,서울,X
20240226,인천,X
20240227,경기남부,X
20240227,경기동부,X
20240227,경기북서부,X
20240227,경기중부,X
20240227,서울,X
20240227,인천,X
20240228,경기남부,X
20240228,경기동부,X
20240228,경기북서부,X
20240228,경기중부,X
20240228,서울,X
20240228,인천,X
20240229,경기남부,X
20240229,경기동부,X
20240229,경기북서부,X
20240229,경기중부,X
20240229,서울,X
20240229,인천,X
20240301,경기남부,X
20240301,경기동부,X
20240301,경기북서부,X
20240301,경기중부,X
20240301,서울,X
20240301,인천,X
20240302,경기남부,X
20240302,경기동부,X
20240302,경기북서부,X
20240302,경기중부,X
20240302,서울,X
20240302,인천,X
20240303,경기남부,X
20240303,경기동부,X
20240303,경기북서부,X
20240303,경기중부,X
20240303,서울,X
20240303,인천,X
20240304,경기남부,X
20240304,경기동부,X
20240304,경기북서부,X
20240304,경기중부,X
20240304,서울,X
20240304,인천,X
20240305,경기남부,X
20240305,경기동부,X
20240305,경기북서부,X
20240305,경기중부,X
20240305,서울,X
20240305,인천,X
20240306,경기남부,X
20240306,경기동부,X
20240306,경기북서부,X
20240306,경기중부,X
20240306,서울,X
20240306,인천,X
20240307,경기남부,X
20240307,경기동부,X
20240307,경기북서부,X
20240307,경기중부,X
20240307,서울,X
20240307,인천,X
20240308,경기남부,X
20240308,경기동부,X
20240308,경기북서부,X
20240308,경기중부,X
20240308,서울,X
20240308,인천,X
20240309,경기남부,X
20240309,경기동부,X
20240309,경기북서부,X
20240309,경기중부,X
20240309,서울,X
20240309,인천,X
20240310,경기남부,X
20240310,경기동부,X
20240310,경기북서부,X
20240310,경기중부,X
20240310,서울,X
20240310,인천,X
20240311,경기남부,X
20240311,경기동부,X
20240311,경기북서부,X
20240311,경기중부,X
20240311,서울,X
20240311,인천,X
20240312,경기남부,X
20240312,경기동부,X
20240312,경기북서부,X
20240312,경기중부,X
20240312,서울,X
20240312,인천,X
20240313,경기남부,X
20240313,경기동부,X
20240313,경기북서부,X
20240313,경기중부,X
20240313,서울,X
20240313,인천,X
20240314,경기남부,X
20240314,경기동부,X
20240314,경기북서부,X
20240314,경기중부,X
20240314,서울,X
20240314,인천,X
20240315,경기남부,X
20240315,경기동부,X
20240315,경기북서부,X
20240315,경기중부,X
20240315,서울,X
20240315,인천,X
20240316,경기남부,X
20240316,경기동부,X
20240316,경기북서부,X
20240316,경기중부,X
20240316,서울,X
20240316,인천,X
20240317,경기남부,X
20240317,경기동부,X
20240317,경기북서부,X
20240317,경기중부,X
20240317,서울,X
20240317,인천,X
20240318,경기남부,X
20240318,경기동부,X
20240318,경기북서부,X
20240318,경기중부,X
20240318,서울,X
20240318,인천,X
20240319,경기남부,X
20240319,경기동부,X
20240319,경기북서부,X
20240319,경기중부,X
20240319,서울,X
20240319,인천,X
20240320,경기남부,X
20240320,경기동부,X
20240320,경기북서부,X
20240320,경기중부,X
20240320,서울,X
20240320,인천,X
20240321,경기남부,X
20240321,경기동부,X
20240321,경기북서부,X
20240321,경기중부,X
20240321,서울,X
20240321,인천,X
20240322,경기남부,X
20240322,경기동부,X
20240322,경기북서부,X
20240322,경기중부,X
20240322,서울,X
20240322,인천,X
20240323,경기남부,X
20240323,경기동부,X
20240323,경기북서부,X
20240323,경기중부,X
20240323,서울,X
20240323,인천,X
20240324,경기남부,X
20240324,경기동부,X
20240324,경기북서부,X
20240324,경기중부,X
20240324,서울,X
20240324,인천,X
20240325,경기남부,X
20240325,경기동부,X
20240325,경기북서부,X
20240325,경기중부,X
20240325,서울,X
20240325,인천,X
20240326,경기남부,X
20240326,경기동부,X
20240326,경기북서부,X
20240326,경기중부,X
20240326,서울,X
20240326,인천,X
20240327,경기남부,X
20240327,경기동부,X
20240327,경기북서부,X
20240327,경기중부,X
20240327,서울,X
20240327,인천,X
20240328,경기남부,X
20240328,경기동부,X
20240328,경기북서부,X
20240328,경기중부,X
20240328,서울,X
20240328,인천,X
20240329,경기남부,X
20240329,경기동부,X
20240329,경기북서부,X
20240329,경기중부,X
20240329,서울,X
20240329,인천,X
20240330,경기남부,X
20240330,경기동부,X
20240330,경기북서부,X
20240330,경기중부,X
20240330,서울,X
20240330,인천,X
20240331,경기남부,X
20240331,경기동부,X
20240331,경기북서부,X
20240331,경기중부,X
20240331,서울,X
20240331,인천,X
