,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
209,2023-05-05,0.0,0.0,0.0,0.0,0.0,-1.942262163022416,0.5008494864985295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0
210,2023-05-06,0.0,0.0,0.0,0.0,0.0,-1.8529334790083496,0.5776094111853783,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,1
211,2023-05-06,0.0,0.0,0.0,0.0,0.0,0.303824513794941,0.6134952397058211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
212,2023-05-06,0.0,0.0,0.0,0.0,0.0,-0.0326427618793481,0.4976820532384168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,1
214,2023-05-06,0.0,0.0,0.0,0.0,0.0,-0.600198759358227,0.4809237270308087,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
215,2023-05-06,0.0,0.0,0.0,0.0,0.0,-0.4953043332140381,0.398042675610845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
217,2023-05-07,0.0,0.0,0.0,0.0,0.0,-1.760134231001696,0.0337462252946333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
219,2023-05-07,0.0,0.0,0.0,0.0,0.0,-0.0693960483679554,0.0492105530123595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0,1
254,2023-05-13,0.0,0.0,0.0,0.0,0.0,-0.0766976035944699,0.0045157836440937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
256,2023-05-13,0.0,0.0,0.0,0.0,0.0,-0.0477619655820601,0.0099872811961458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
281,2023-05-17,0.0,0.0,0.0,0.0,0.0,0.1703593913561491,0.0020114002846415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0
282,2023-05-18,0.0,0.0,0.0,0.0,0.0,1.1491541964154648,0.0380052376044868,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0
284,2023-05-18,0.0,0.0,0.0,0.0,0.0,0.2001670379705119,0.0251322508677009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
286,2023-05-18,0.0,0.0,0.0,0.0,0.0,0.848845783811634,0.03231950606593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0
300,2023-05-21,0.0,1.0,1.0,1.0,0.0,0.28004566761991,0.0060131878671635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
301,2023-05-21,0.0,0.0,1.0,1.0,0.0,-1.7411848474791114,0.0015092103145817,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
304,2023-05-21,0.0,1.0,1.0,1.0,0.0,-0.4878244146428438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1
306,2023-05-22,0.0,1.0,1.0,1.0,0.0,0.8164899012258666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
307,2023-05-22,0.0,1.0,1.0,1.0,0.0,1.1044668763631755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
308,2023-05-22,0.0,1.0,0.0,0.0,0.0,0.1792773618291034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
309,2023-05-22,0.0,1.0,1.0,1.0,0.0,-1.1858353737505083,0.1109612947413402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
310,2023-05-22,0.0,1.0,1.0,1.0,0.0,-0.0525330485914437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0
311,2023-05-22,0.0,1.0,1.0,1.0,0.0,0.1348396531222904,0.0188296932820605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
312,2023-05-23,0.0,1.0,0.0,0.0,0.0,0.2182571283685252,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
313,2023-05-23,0.0,1.0,1.0,1.0,0.0,0.8695586085860345,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
314,2023-05-23,0.0,1.0,1.0,1.0,0.0,1.154916637519897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
316,2023-05-23,0.0,1.0,0.0,0.0,0.0,-0.0208752146441007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
317,2023-05-23,0.0,1.0,0.0,0.0,0.0,-1.1364881357794232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
336,2023-05-27,0.0,0.0,0.0,0.0,0.0,0.4598291857676342,0.5590744150393848,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
337,2023-05-27,0.0,0.0,0.0,0.0,0.0,-0.4529403509529237,0.6114146062914114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
338,2023-05-27,0.0,0.0,0.0,0.0,0.0,-1.6178363202427426,0.362992559446969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,1
339,2023-05-27,0.0,0.0,0.0,0.0,0.0,0.1377727083537288,0.3170276988530425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,1
341,2023-05-27,0.0,0.0,0.0,0.0,0.0,-0.3667899554748241,0.759158147531162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
342,2023-05-28,0.0,0.0,0.0,0.0,0.0,0.0329814670288473,0.5901828277635259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
343,2023-05-28,0.0,0.0,0.0,0.0,0.0,-2.0481118923903576,0.5428645510489782,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
344,2023-05-28,0.0,0.0,0.0,0.0,0.0,-0.8568780913801047,0.3788350591863743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0,1
345,2023-05-28,0.0,0.0,0.0,0.0,0.0,-0.253601095518558,0.5955648183685603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0,1
346,2023-05-28,0.0,0.0,0.0,0.0,0.0,-0.7235392372279519,0.3733397618044843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1
348,2023-05-29,0.0,0.0,0.0,0.0,0.0,-0.0053071356042045,0.0351694086604097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
349,2023-05-29,0.0,0.0,0.0,0.0,0.0,0.2463799119479877,0.0236839419179896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
350,2023-05-29,0.0,0.0,0.0,0.0,0.0,-0.5359056817497992,0.0075066976665316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0
351,2023-05-29,0.0,0.0,0.0,0.0,0.0,-1.7093161641550851,0.1232848190464577,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
353,2023-05-29,0.0,0.0,0.0,0.0,0.0,-0.4552291516892546,0.0168764458405369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
355,2023-05-30,0.0,0.0,0.0,0.0,0.0,-1.1195728079410563,0.1975221427577152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
396,2023-06-06,0.0,0.0,0.0,0.0,0.0,-0.4238535300976164,0.0080036723355122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0
399,2023-06-06,0.0,0.0,0.0,0.0,0.0,-1.738776980565892,0.0045157836440937,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
403,2023-06-07,0.0,0.0,0.0,0.0,0.0,0.1968123010076879,0.0045157836440937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,0
405,2023-06-07,0.0,0.0,0.0,0.0,0.0,0.1574565920965017,0.0070092925300488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0
